[Name]
Series 1 at /LINE:eksen

[Data]
X [ m ],Pressure [ Pa ]
0.00000000e+00, 4.75387281e+05
1.20240478e-02, 4.75361875e+05
2.40480956e-02, 4.75303719e+05
3.60721424e-02, 4.75214250e+05
4.80961911e-02, 4.75095250e+05
6.01202399e-02, 4.74953469e+05
7.21442848e-02, 4.74794313e+05
8.41683298e-02, 4.74623250e+05
9.61923748e-02, 4.74445969e+05
1.08216420e-01, 4.74266813e+05
1.20240465e-01, 4.74089375e+05
1.32264510e-01, 4.73916313e+05
1.44288555e-01, 4.73749063e+05
1.56312600e-01, 4.73588688e+05
1.68336645e-01, 4.73435750e+05
1.80360690e-01, 4.73289438e+05
1.92384735e-01, 4.73149813e+05
2.04408780e-01, 4.73016469e+05
2.16432825e-01, 4.72888813e+05
2.28456870e-01, 4.72765969e+05
2.40480915e-01, 4.72647469e+05
2.52504975e-01, 4.72533031e+05
2.64529020e-01, 4.72422094e+05
2.76553065e-01, 4.72314250e+05
2.88577110e-01, 4.72209156e+05
3.00601155e-01, 4.72106750e+05
3.12625200e-01, 4.72006719e+05
3.24649245e-01, 4.71908688e+05
3.36673290e-01, 4.71812781e+05
3.48697335e-01, 4.71718656e+05
3.60721380e-01, 4.71626313e+05
3.72745425e-01, 4.71535531e+05
3.84769469e-01, 4.71446250e+05
3.96793514e-01, 4.71358500e+05
4.08817559e-01, 4.71272063e+05
4.20841604e-01, 4.71186875e+05
4.32865649e-01, 4.71102844e+05
4.44889694e-01, 4.71020094e+05
4.56913739e-01, 4.70938344e+05
4.68937784e-01, 4.70857500e+05
4.80961829e-01, 4.70777625e+05
4.92985874e-01, 4.70698719e+05
5.05009949e-01, 4.70620563e+05
5.17033994e-01, 4.70543156e+05
5.29058039e-01, 4.70466438e+05
5.41082084e-01, 4.70390313e+05
5.53106129e-01, 4.70314531e+05
5.65130174e-01, 4.70239094e+05
5.77154219e-01, 4.70163813e+05
5.89178264e-01, 4.70088344e+05
6.01202309e-01, 4.70012750e+05
6.13226354e-01, 4.69936344e+05
6.25250399e-01, 4.69858969e+05
6.37274444e-01, 4.69780031e+05
6.49298489e-01, 4.69698844e+05
