[Name]
Series 1 at eksen

[Data]
X [ m ],Pressure [ Pa ]
0.00000000e+00, 3.16581100e+06
1.20240478e-02, 3.16568500e+06
2.40480956e-02, 3.16547100e+06
3.60721424e-02, 3.16517050e+06
4.80961911e-02, 3.16477825e+06
6.01202399e-02, 3.16430850e+06
7.21442848e-02, 3.16376900e+06
8.41683298e-02, 3.16317025e+06
9.61923748e-02, 3.16252600e+06
1.08216420e-01, 3.16184675e+06
1.20240465e-01, 3.16114225e+06
1.32264510e-01, 3.16042000e+06
1.44288555e-01, 3.15968775e+06
1.56312600e-01, 3.15895100e+06
1.68336645e-01, 3.15821300e+06
1.80360690e-01, 3.15747775e+06
1.92384735e-01, 3.15674825e+06
2.04408780e-01, 3.15602700e+06
2.16432825e-01, 3.15531500e+06
2.28456870e-01, 3.15461325e+06
2.40480915e-01, 3.15392225e+06
2.52504975e-01, 3.15324300e+06
2.64529020e-01, 3.15257525e+06
2.76553065e-01, 3.15191800e+06
2.88577110e-01, 3.15127225e+06
3.00601155e-01, 3.15063725e+06
3.12625200e-01, 3.15001375e+06
3.24649245e-01, 3.14939950e+06
3.36673290e-01, 3.14879625e+06
3.48697335e-01, 3.14820125e+06
3.60721380e-01, 3.14761650e+06
3.72745425e-01, 3.14704000e+06
3.84769469e-01, 3.14647150e+06
3.96793514e-01, 3.14591125e+06
4.08817559e-01, 3.14535850e+06
4.20841604e-01, 3.14481250e+06
4.32865649e-01, 3.14427350e+06
4.44889694e-01, 3.14374050e+06
4.56913739e-01, 3.14321400e+06
4.68937784e-01, 3.14269225e+06
4.80961829e-01, 3.14217575e+06
4.92985874e-01, 3.14166400e+06
5.05009949e-01, 3.14115700e+06
5.17033994e-01, 3.14065375e+06
5.29058039e-01, 3.14015325e+06
5.41082084e-01, 3.13965625e+06
5.53106129e-01, 3.13916100e+06
5.65130174e-01, 3.13866750e+06
5.77154219e-01, 3.13817375e+06
5.89178264e-01, 3.13767875e+06
6.01202309e-01, 3.13718250e+06
6.13226354e-01, 3.13668125e+06
6.25250399e-01, 3.13617400e+06
6.37274444e-01, 3.13565625e+06
6.49298489e-01, 3.13512400e+06
6.61322534e-01, 3.13457200e+06
6.73346579e-01, 3.13399300e+06
6.85370624e-01, 3.13337650e+06
6.97394669e-01, 3.13271000e+06
7.09418714e-01, 3.13197700e+06
7.21442759e-01, 3.13115675e+06
7.33466804e-01, 3.13021500e+06
7.45490849e-01, 3.12911675e+06
7.57514894e-01, 3.12781450e+06
7.69538939e-01, 3.12623050e+06
7.81562984e-01, 3.12427600e+06
7.93587029e-01, 3.12183500e+06
8.05611074e-01, 3.11873850e+06
8.17635119e-01, 3.11473675e+06
8.29659164e-01, 3.10956450e+06
8.41683209e-01, 3.10281400e+06
8.53707254e-01, 3.09374425e+06
8.65731299e-01, 3.08164550e+06
8.77755344e-01, 3.06536925e+06
8.89779389e-01, 3.04279850e+06
9.01803434e-01, 3.01169975e+06
9.13827479e-01, 2.96825300e+06
9.25851524e-01, 2.90580325e+06
9.37875569e-01, 2.81703550e+06
9.49899614e-01, 2.68887350e+06
9.61923659e-01, 2.50466125e+06
9.73947704e-01, 2.24916725e+06
9.85971749e-01, 1.90407125e+06
9.97995794e-01, 1.47781450e+06
1.01001990e+00, 9.96979063e+05
1.02204394e+00, 5.12011250e+05
1.03406799e+00, 7.25377656e+04
1.04609203e+00, -2.83952875e+05
1.05811608e+00, -5.54798750e+05
1.07014012e+00, -7.47165625e+05
1.08216417e+00, -8.77528063e+05
1.09418821e+00, -9.64567500e+05
1.10621226e+00, -1.02007306e+06
1.11823630e+00, -1.05492100e+06
1.13026035e+00, -1.07574563e+06
1.14228439e+00, -1.08628125e+06
1.15430844e+00, -1.08991863e+06
1.16633248e+00, -1.08798738e+06
1.17835653e+00, -1.08160775e+06
1.19038057e+00, -1.07153763e+06
1.20240462e+00, -1.05826400e+06
1.21442866e+00, -1.04212344e+06
1.22645271e+00, -1.02332888e+06
1.23847675e+00, -1.00223194e+06
1.25050080e+00, -9.79094250e+05
1.26252484e+00, -9.54041063e+05
1.27454889e+00, -9.27397563e+05
1.28657293e+00, -8.99391375e+05
1.29859698e+00, -8.70197375e+05
1.31062102e+00, -8.40047688e+05
1.32264507e+00, -8.09170250e+05
1.33466911e+00, -7.77757625e+05
1.34669316e+00, -7.45868625e+05
1.35871720e+00, -7.13741188e+05
1.37074125e+00, -6.81553875e+05
1.38276529e+00, -6.49426500e+05
1.39478934e+00, -6.17421250e+05
1.40681338e+00, -5.85610438e+05
1.41883743e+00, -5.54090875e+05
1.43086147e+00, -5.22996438e+05
1.44288552e+00, -4.92386000e+05
1.45490956e+00, -4.62293938e+05
1.46693361e+00, -4.32618469e+05
1.47895765e+00, -4.03515313e+05
1.49098170e+00, -3.74901563e+05
1.50300574e+00, -3.46966063e+05
1.51502979e+00, -3.19548188e+05
1.52705383e+00, -2.92797594e+05
1.53907788e+00, -2.66632531e+05
1.55110192e+00, -2.41261797e+05
1.56312597e+00, -2.16625906e+05
1.57515001e+00, -1.92911266e+05
1.58717406e+00, -1.70217750e+05
1.59919810e+00, -1.48591047e+05
1.61122215e+00, -1.28079289e+05
1.62324619e+00, -1.08757195e+05
1.63527024e+00, -9.04184844e+04
1.64729428e+00, -7.31354063e+04
1.65931833e+00, -5.69812188e+04
1.67134237e+00, -4.18754531e+04
1.68336642e+00, -2.77336328e+04
1.69539046e+00, -1.44490264e+04
1.70741451e+00, -2.01408911e+03
1.71943855e+00, 9.52870313e+03
1.73146260e+00, 2.04221914e+04
1.74348664e+00, 3.05220918e+04
1.75551069e+00, 3.99262695e+04
1.76753473e+00, 4.86990039e+04
1.77955878e+00, 5.68814453e+04
1.79158282e+00, 6.44133594e+04
1.80360687e+00, 7.13977656e+04
1.81563091e+00, 7.78545781e+04
1.82765496e+00, 8.37716328e+04
1.83967900e+00, 8.92091172e+04
1.85170305e+00, 9.41976563e+04
1.86372709e+00, 9.87599219e+04
1.87575114e+00, 1.02868484e+05
1.88777518e+00, 1.06643508e+05
1.89979923e+00, 1.10047383e+05
1.91182327e+00, 1.13127313e+05
1.92384732e+00, 1.15876586e+05
1.93587136e+00, 1.18360219e+05
1.94789541e+00, 1.20571922e+05
1.95991945e+00, 1.22520609e+05
1.97194350e+00, 1.24267320e+05
1.98396754e+00, 1.25804930e+05
1.99599159e+00, 1.27148148e+05
2.00801563e+00, 1.28329023e+05
2.02003980e+00, 1.29338766e+05
2.03206396e+00, 1.30214469e+05
2.04408813e+00, 1.30952438e+05
2.05611229e+00, 1.31583500e+05
2.06813645e+00, 1.32098266e+05
2.08016062e+00, 1.32514844e+05
2.09218478e+00, 1.32842938e+05
2.10420895e+00, 1.33095656e+05
2.11623311e+00, 1.33266109e+05
2.12825727e+00, 1.33374828e+05
2.14028144e+00, 1.33428531e+05
2.15230560e+00, 1.33427234e+05
2.16432977e+00, 1.33370281e+05
2.17635393e+00, 1.33269906e+05
2.18837810e+00, 1.33125906e+05
2.20040226e+00, 1.32945531e+05
2.21242642e+00, 1.32731797e+05
2.22445059e+00, 1.32484719e+05
2.23647475e+00, 1.32210531e+05
2.24849892e+00, 1.31910859e+05
2.26052308e+00, 1.31587594e+05
2.27254725e+00, 1.31243719e+05
2.28457141e+00, 1.30878680e+05
2.29659557e+00, 1.30498438e+05
2.30861974e+00, 1.30100836e+05
2.32064390e+00, 1.29687922e+05
2.33266807e+00, 1.29262828e+05
2.34469223e+00, 1.28825156e+05
2.35671639e+00, 1.28376461e+05
2.36874056e+00, 1.27918164e+05
2.38076472e+00, 1.27450945e+05
2.39278889e+00, 1.26975344e+05
2.40481305e+00, 1.26492383e+05
2.41683722e+00, 1.26002758e+05
2.42886138e+00, 1.25506891e+05
2.44088554e+00, 1.25005453e+05
2.45290971e+00, 1.24499336e+05
2.46493387e+00, 1.23988625e+05
2.47695804e+00, 1.23473250e+05
2.48898220e+00, 1.22954055e+05
2.50100636e+00, 1.22431711e+05
2.51303053e+00, 1.21906164e+05
2.52505469e+00, 1.21378719e+05
2.53707886e+00, 1.20848922e+05
2.54910302e+00, 1.20316969e+05
2.56112719e+00, 1.19783453e+05
2.57315135e+00, 1.19248242e+05
2.58517551e+00, 1.18711617e+05
2.59719968e+00, 1.18174148e+05
2.60922384e+00, 1.17635883e+05
2.62124801e+00, 1.17096914e+05
2.63327217e+00, 1.16557531e+05
2.64529634e+00, 1.16017797e+05
2.65732050e+00, 1.15477219e+05
2.66934466e+00, 1.14936813e+05
2.68136883e+00, 1.14396734e+05
2.69339299e+00, 1.13857391e+05
2.70541716e+00, 1.13317789e+05
2.71744132e+00, 1.12778070e+05
2.72946548e+00, 1.12238977e+05
2.74148965e+00, 1.11700672e+05
2.75351381e+00, 1.11163086e+05
2.76553798e+00, 1.10626117e+05
2.77756214e+00, 1.10090523e+05
2.78958631e+00, 1.09555625e+05
2.80161047e+00, 1.09021656e+05
2.81363463e+00, 1.08488977e+05
2.82565880e+00, 1.07957484e+05
2.83768296e+00, 1.07426938e+05
2.84970713e+00, 1.06898164e+05
2.86173129e+00, 1.06370484e+05
2.87375546e+00, 1.05843922e+05
2.88577962e+00, 1.05318906e+05
