[Name]
Series 1 at Line 1

[Data]
Velocity u [ m s^-1 ],Y [ m ]
1.57855530e+01, 0.00000000e+00
1.57795916e+01, 5.17241377e-03
1.57620583e+01, 1.03448275e-02
1.57328396e+01, 1.55172413e-02
1.56917486e+01, 2.06896551e-02
1.56385403e+01, 2.58620679e-02
1.55729122e+01, 3.10344808e-02
1.54945154e+01, 3.62068936e-02
1.54029484e+01, 4.13793065e-02
1.52977648e+01, 4.65517193e-02
1.51784544e+01, 5.17241322e-02
1.50444260e+01, 5.68965450e-02
1.48949890e+01, 6.20689578e-02
1.47293091e+01, 6.72413707e-02
1.45463724e+01, 7.24137872e-02
1.43449116e+01, 7.75862038e-02
1.41233330e+01, 8.27586204e-02
1.38795929e+01, 8.79310369e-02
1.36110420e+01, 9.31034535e-02
1.33141918e+01, 9.82758701e-02
1.29843512e+01, 1.03448287e-01
1.26150513e+01, 1.08620703e-01
1.21970596e+01, 1.13793120e-01
1.17166100e+01, 1.18965536e-01
1.11518755e+01, 1.24137953e-01
1.04650688e+01, 1.29310369e-01
9.58178711e+00, 1.34482786e-01
8.31301117e+00, 1.39655203e-01
6.06858206e+00, 1.44827619e-01
0.00000000e+00, 1.50000036e-01
